FMA,2020-02-10,57,19,9
FMA,2020-02-11,55,19,9
FMA,2020-02-12,70,20,10
FMA,2020-02-13,73,26,11
FMA,2020-02-14,72,25,13
FMA,2020-02-15,89,26,13
FMA,2020-02-16,41,16,7
FMA,2020-02-17,48,15,7
FMA,2020-02-18,55,16,7
FMA,2020-02-19,49,18,8
FMA,2020-02-20,59,17,8
FMA,2020-02-21,58,18,9
FMA,2020-02-22,68,20,9
FMA,2020-02-23,64,23,10
FMA,2020-02-24,75,23,11
FMA,2020-02-25,69,24,12
FMA,2020-02-26,72,22,12
FMA,2020-02-27,77,28,13
FMA,2020-02-28,73,29,11
FMA,2020-02-29,80,27,13
FMA,2020-03-01,92,31,15
FMA,2020-03-02,86,30,15
FMA,2020-03-03,85,31,13
FMA,2020-03-04,88,33,16
FMA,2020-03-05,98,30,16
FMA,2020-03-06,105,32,17
FMA,2020-03-07,95,35,16
FMA,2020-03-08,111,36,18
FMA,2020-03-09,102,36,19
FMA,2020-03-10,109,37,18
FMA,2020-03-11,127,40,17
FMA,2020-03-12,123,40,18
FMA,2020-03-13,121,41,19
FMA,2020-03-14,124,43,21
FMA,2020-03-15,120,43,20
FMA,2020-03-16,133,45,21
FMA,2020-03-17,126,46,22
FMA,2020-03-18,125,48,22
FMA,2020-03-19,138,48,22
FMA,2020-03-20,131,46,24
FMA,2020-03-21,154,48,22
FMA,2020-03-22,141,51,25
FMA,2020-03-23,142,49,22
FMA,2020-03-24,150,56,23
FMA,2020-03-25,162,58,28
FMA,2020-03-26,169,56,26
FMA,2020-03-27,179,54,29
FMA,2020-03-28,173,61,27
FMA,2020-03-29,171,62,25
FMA,2020-03-30,181,60,27
FMA,2020-03-31,186,64,30
