FOW,2020-02-02,5,-2,-2
FOW,2020-02-03,9,3,1
FOW,2020-02-04,14,5,2
FOW,2020-02-05,21,6,2
FOW,2020-02-06,26,8,3
FOW,2020-02-07,35,9,4
FOW,2020-02-08,39,12,6
FOW,2020-02-09,44,13,6
FOW,2020-02-10,50,17,7
FOW,2020-02-11,57,19,8
FOW,2020-02-12,28,8,4
FOW,2020-02-13,31,9,5
FOW,2020-02-14,36,10,4
FOW,2020-02-15,34,12,6
FOW,2020-02-16,39,12,6
FOW,2020-02-17,45,14,6
FOW,2020-02-18,44,14,7
FOW,2020-02-19,51,14,7
FOW,2020-02-20,47,17,7
FOW,2020-02-21,55,18,8
FOW,2020-02-22,56,19,9
FOW,2020-02-23,58,19,9
FOW,2020-02-24,67,20,9
FOW,2020-02-25,69,19,9
FOW,2020-02-26,62,23,10
FOW,2020-02-27,73,22,10
FOW,2020-02-28,66,22,13
FOW,2020-02-29,71,23,12
FOW,2020-03-01,72,27,13
FOW,2020-03-02,85,25,13
FOW,2020-03-03,88,25,12
FOW,2020-03-04,81,30,14
FOW,2020-03-05,82,28,13
FOW,2020-03-06,98,29,14
FOW,2020-03-07,103,31,16
FOW,2020-03-08,92,33,17
FOW,2020-03-09,107,29,14
FOW,2020-03-10,91,34,16
FOW,2020-03-11,100,33,17
FOW,2020-03-12,115,36,17
FOW,2020-03-13,110,38,17
FOW,2020-03-14,123,34,16
FOW,2020-03-15,109,37,20
FOW,2020-03-16,117,35,17
FOW,2020-03-17,117,39,20
FOW,2020-03-18,135,44,21
FOW,2020-03-19,116,39,21
FOW,2020-03-20,129,39,19
FOW,2020-03-21,139,47,22
FOW,2020-03-22,124,46,22
FOW,2020-03-23,133,46,23
FOW,2020-03-24,128,41,21
FOW,2020-03-25,146,42,23
FOW,2020-03-26,142,50,23
FOW,2020-03-27,139,45,22
FOW,2020-03-28,154,50,23
FOW,2020-03-29,149,50,22
FOW,2020-03-30,167,53,25
FOW,2020-03-31,162,50,26
