FDQ,2020-02-02,5,1,-2
FDQ,2020-02-03,9,2,-2
FDQ,2020-02-04,15,4,2
FDQ,2020-02-05,19,6,3
FDQ,2020-02-06,25,8,3
FDQ,2020-02-07,31,9,4
FDQ,2020-02-08,35,12,5
FDQ,2020-02-09,46,14,6
FDQ,2020-02-10,47,14,7
FDQ,2020-02-11,51,19,8
FDQ,2020-02-12,57,18,9
FDQ,2020-02-13,58,22,10
FDQ,2020-02-14,72,25,11
FDQ,2020-02-15,77,24,11
FDQ,2020-02-16,75,28,13
FDQ,2020-02-17,88,29,14
FDQ,2020-02-18,83,29,14
FDQ,2020-02-19,101,34,15
FDQ,2020-02-20,94,36,17
FDQ,2020-02-21,98,33,18
FDQ,2020-02-22,108,36,18
FDQ,2020-02-23,115,38,17
FDQ,2020-02-24,114,42,21
FDQ,2020-02-25,118,39,22
FDQ,2020-02-26,121,48,22
FDQ,2020-02-27,128,45,21
FDQ,2020-02-28,131,45,23
FDQ,2020-02-29,158,45,23
FDQ,2020-03-01,164,54,24
FDQ,2020-03-02,149,53,26
FDQ,2020-03-03,159,53,26
FDQ,2020-03-04,181,55,26
FDQ,2020-03-05,192,58,27
FDQ,2020-03-06,172,59,31
FDQ,2020-03-07,193,64,28
FDQ,2020-03-08,192,67,33
FDQ,2020-03-09,206,61,36
FDQ,2020-03-10,209,72,32
FDQ,2020-03-11,221,68,35
FDQ,2020-03-12,203,73,36
FDQ,2020-03-13,241,78,35
FDQ,2020-03-14,232,81,40
FDQ,2020-03-15,218,83,35
FDQ,2020-03-16,216,71,37
FDQ,2020-03-17,261,85,42
FDQ,2020-03-18,272,87,42
FDQ,2020-03-19,259,83,45
FDQ,2020-03-20,261,90,42
FDQ,2020-03-21,267,86,41
FDQ,2020-03-22,270,90,43
FDQ,2020-03-23,273,82,44
FDQ,2020-03-24,253,88,45
FDQ,2020-03-25,294,91,43
FDQ,2020-03-26,284,97,48
FDQ,2020-03-27,311,107,49
FDQ,2020-03-28,290,103,49
FDQ,2020-03-29,329,93,47
FDQ,2020-03-30,332,100,47
FDQ,2020-03-31,326,96,50
